market_name,date,price,min_price,max_price
Achnera,2025-05-19,750.0,700.0,800.0
Ahmedgarh,2025-05-19,1300.0,1200.0,1300.0
Ajuha,2025-05-19,800.0,740.0,880.0
Amroha,2025-05-19,750.0,650.0,850.0
Anandnagar,2025-05-19,650.0,600.0,700.0
Angamaly,2025-05-19,3500.0,3200.0,4000.0
Anwala,2025-05-19,1100.0,1000.0,1200.0
Attabira,2025-05-19,2000.0,1800.0,2200.0
Awagarh,2025-05-19,650.0,600.0,700.0
Badayoun,2025-05-19,755.0,705.0,810.0
Bahadajholla,2025-05-19,1400.0,1400.0,1400.0
Balarampur,2025-05-19,1400.0,1200.0,1500.0
Balrampur,2025-05-19,1125.0,1020.0,1230.0
Barpathari,2025-05-19,4000.0,3900.0,4100.0
Barwala(Hisar),2025-05-19,900.0,700.0,1000.0
Bassi,2025-05-19,600.0,500.0,700.0
Bhanjanagar,2025-05-19,1700.0,1600.0,1800.0
Bhinmal,2025-05-19,500.0,500.0,500.0
Bijnaur,2025-05-19,830.0,800.0,900.0
Bilimora,2025-05-19,1500.0,1000.0,2000.0
Boudh,2025-05-19,1900.0,1700.0,2100.0
Chamba,2025-05-19,1800.0,1600.0,2000.0
Chandabali,2025-05-19,1800.0,1650.0,2000.0
Charra,2025-05-19,1100.0,1000.0,1200.0
Chengannur,2025-05-19,4000.0,3500.0,4200.0
Damnagar,2025-05-19,2050.0,1650.0,2550.0
Dhanaura,2025-05-19,700.0,600.0,800.0
Dhand,2025-05-19,1080.0,1000.0,1100.0
Dharamshala,2025-05-19,1300.0,1200.0,1400.0
Doraha,2025-05-19,1400.0,900.0,1600.0
Ernakulam,2025-05-19,2700.0,2600.0,2800.0
Ettumanoor,2025-05-19,3000.0,2800.0,3200.0
Fatehabad,2025-05-19,850.0,750.0,850.0
Fazilka,2025-05-19,1000.0,800.0,1200.0
FerozpurZirkha(Nagina),2025-05-19,500.0,400.0,600.0
Ganaur,2025-05-19,700.0,700.0,800.0
Garh Shankar,2025-05-19,800.0,750.0,1000.0
GarhShankar (Kotfatuhi),2025-05-19,1000.0,800.0,1200.0
Ghanaur,2025-05-19,700.0,600.0,800.0
Ghatal,2025-05-19,2100.0,2000.0,2200.0
Ghiraur,2025-05-19,760.0,660.0,860.0
Gohana,2025-05-19,1000.0,800.0,1200.0
Goluwala,2025-05-19,1000.0,1000.0,1000.0
Gunpur,2025-05-19,2560.0,2100.0,3150.0
Gurgaon,2025-05-19,1000.0,900.0,1100.0
Hamirpur,2025-05-19,1650.0,1500.0,1800.0
Hansi,2025-05-19,800.0,600.0,1000.0
Hardoi,2025-05-19,810.0,760.0,840.0
Haridwar Union,2025-05-19,800.0,700.0,1000.0
Hindol,2025-05-19,1900.0,1800.0,2000.0
Jasvantnagar,2025-05-19,1285.0,1235.0,1335.0
Kairana,2025-05-19,850.0,800.0,900.0
